gene,cell_type,cell_class,brain_region,tissue,species,reference
IL7R,Naive CD4+ T,NA,NA,PBMCs,Human,Seurat_vignette
CCR7,Naive CD4+ T,NA,NA,PBMCs,Human,Seurat_vignette
CD14,CD14+ Mono,NA,NA,PBMCs,Human,Seurat_vignette
LYZ,CD14+ Mono,NA,NA,PBMCs,Human,Seurat_vignette
IL7R,Memory CD4+,NA,NA,PBMCs,Human,Seurat_vignette
S100A4,Memory CD4+,NA,NA,PBMCs,Human,Seurat_vignette
MS4A1,B,NA,NA,PBMCs,Human,Seurat_vignette
CD8A,CD8+ T,NA,NA,PBMCs,Human,Seurat_vignette
FCGR3A,FCGR3A+ Mono,NA,NA,PBMCs,Human,Seurat_vignette
MS4A7,FCGR3A+ Mono,NA,NA,PBMCs,Human,Seurat_vignette
GNLY,NK,NA,NA,PBMCs,Human,Seurat_vignette
NKG7,NK,NA,NA,PBMCs,Human,Seurat_vignette
FCER1A,DC,NA,NA,PBMCs,Human,Seurat_vignette
CST3,DC,NA,NA,PBMCs,Human,Seurat_vignette
PPBP,Platelet,NA,NA,PBMCs,Human,Seurat_vignette
Mbp,Oligodendrocytes,Major_Cells,CeA,Brain,Rat,Dilly_et_al_2022
Mobp,Oligodendrocytes,Major_Cells,CeA,Brain,Rat,Dilly_et_al_2022
Plp1,Oligodendrocytes,Major_Cells,CeA,Brain,Rat,Dilly_et_al_2022
Gad1,GABA_Neurons,Major_Cells,CeA,Brain,Rat,Dilly_et_al_2022
Gad2,Oligodendrocytes,Major_Cells,CeA,Brain,Rat,Dilly_et_al_2022
Ndrg2,Astrocytes,Major_Cells,CeA,Brain,Rat,Dilly_et_al_2022
Slc1a2,Astrocytes,Major_Cells,CeA,Brain,Rat,Dilly_et_al_2022
Slc4a4,Astrocytes,Major_Cells,CeA,Brain,Rat,Dilly_et_al_2022
Slc17a7,Excitatory_Neurons,Major_Cells,CeA,Brain,Rat,Dilly_et_al_2022
Satb1,Excitatory_Neurons,Major_Cells,CeA,Brain,Rat,Dilly_et_al_2022
Neurod6,Excitatory_Neurons,Major_Cells,CeA,Brain,Rat,Dilly_et_al_2022
Vcan,OPCs,Major_Cells,CeA,Brain,Rat,Dilly_et_al_2022
Pdgfra,OPCs,Major_Cells,CeA,Brain,Rat,Dilly_et_al_2022
Pcdh15,OPCs,Major_Cells,CeA,Brain,Rat,Dilly_et_al_2022
Csf1r,Microglia,Major_Cells,CeA,Brain,Rat,Dilly_et_al_2022
Apbb1ip,Microglia,Major_Cells,CeA,Brain,Rat,Dilly_et_al_2022
P2ry12,Microglia,Major_Cells,CeA,Brain,Rat,Dilly_et_al_2022
Flt1,Endothelial_Cells,Major_Cells,CeA,Brain,Rat,Dilly_et_al_2022
B2m,Endothelial_Cells,Major_Cells,CeA,Brain,Rat,Dilly_et_al_2022
Bmp4,Immature_Oligos,Major_Cells,CeA,Brain,Rat,Dilly_et_al_2022
Cnp,Immature_Oligos,Major_Cells,CeA,Brain,Rat,Dilly_et_al_2022
Ccdc153,Ependymal_Cells,Major_Cells,CeA,Brain,Rat,Dilly_et_al_2022
Rsph1,Ependymal_Cells,Major_Cells,CeA,Brain,Rat,Dilly_et_al_2022
Tmem212,Ependymal_Cells,Major_Cells,CeA,Brain,Rat,Dilly_et_al_2022
Rbfox3,Neurons,Major_Cells,CeA,Brain,Rat,Dilly_et_al_2022
Drd1,dSPN,Neuronal,Dorsal_Striatum,Brain,Mouse,Wildermuth_et_al_2025
Pdyn,dSPN,Neuronal,Dorsal_Striatum,Brain,Mouse,Wildermuth_et_al_2025
Drd2,iSPN,Neuronal,Dorsal_Striatum,Brain,Mouse,Wildermuth_et_al_2025
Adora2a,iSPN,Neuronal,Dorsal_Striatum,Brain,Mouse,Wildermuth_et_al_2025
Otof,eSPN,Neuronal,Dorsal_Striatum,Brain,Mouse,Wildermuth_et_al_2025
Col11a1,eSPN,Neuronal,Dorsal_Striatum,Brain,Mouse,Wildermuth_et_al_2025
Kit,Pvalb_IN,Neuronal,Dorsal_Striatum,Brain,Mouse,Wildermuth_et_al_2025
Pvalb,Pvalb_IN,Neuronal,Dorsal_Striatum,Brain,Mouse,Wildermuth_et_al_2025
Tacr1,Chol_IN,Neuronal,Dorsal_Striatum,Brain,Mouse,Wildermuth_et_al_2025
Chat,Chol_IN,Neuronal,Dorsal_Striatum,Brain,Mouse,Wildermuth_et_al_2025
Sst,Sst_IN,Neuronal,Dorsal_Striatum,Brain,Mouse,Wildermuth_et_al_2025
Npy,Sst_IN,Neuronal,Dorsal_Striatum,Brain,Mouse,Wildermuth_et_al_2025
Slc1a3,Astro,NonNeuronal,Dorsal_Striatum,Brain,Mouse,Wildermuth_et_al_2025
Rorb,Astro,NonNeuronal,Dorsal_Striatum,Brain,Mouse,Wildermuth_et_al_2025
Mog,Oligo,NonNeuronal,Dorsal_Striatum,Brain,Mouse,Wildermuth_et_al_2025
Aspa,Oligo,NonNeuronal,Dorsal_Striatum,Brain,Mouse,Wildermuth_et_al_2025
Pdgfra,OPC,NonNeuronal,Dorsal_Striatum,Brain,Mouse,Wildermuth_et_al_2025
Flt1,Endo,NonNeuronal,Dorsal_Striatum,Brain,Mouse,Wildermuth_et_al_2025
Slco1a4,Endo,NonNeuronal,Dorsal_Striatum,Brain,Mouse,Wildermuth_et_al_2025
Dnah12,Ependy,NonNeuronal,Dorsal_Striatum,Brain,Mouse,Wildermuth_et_al_2025
Rsph1,Ependy,NonNeuronal,Dorsal_Striatum,Brain,Mouse,Wildermuth_et_al_2025
Gm973,Ependy,NonNeuronal,Dorsal_Striatum,Brain,Mouse,Wildermuth_et_al_2025
Pdgfrb,Mural,NonNeuronal,Dorsal_Striatum,Brain,Mouse,Wildermuth_et_al_2025
Rgs5,Mural,NonNeuronal,Dorsal_Striatum,Brain,Mouse,Wildermuth_et_al_2025
C1qc,Microglia,NonNeuronal,Dorsal_Striatum,Brain,Mouse,Wildermuth_et_al_2025
Cx3cr1,Microglia,NonNeuronal,Dorsal_Striatum,Brain,Mouse,Wildermuth_et_al_2025
Rbfox3,All_Neurons,Neuronal,Brain,Brain,Mouse,GD_custom_list
Syn1,All_Neurons,Neuronal,Brain,Brain,Mouse,GD_custom_list
Gria1,All_Neurons,Neuronal,Brain,Brain,Mouse,GD_custom_list
Gad1,Inhibitory_Neurons,Neuronal,Brain,Brain,Mouse,GD_custom_list
Gad2,Inhibitory_Neurons,Neuronal,Brain,Brain,Mouse,GD_custom_list
Neurod6,Excitatory_Neurons,Neuronal,Brain,Brain,Mouse,GD_custom_list
Satb1,Excitatory_Neurons,Neuronal,Brain,Brain,Mouse,GD_custom_list
Slc17a7,Excitatory_Neurons,Neuronal,Brain,Brain,Mouse,GD_custom_list
Slc5a7,Cholinergic_Neurons,Neuronal,Brain,Brain,Mouse,GD_custom_list
Prima1,Cholinergic_Neurons,Neuronal,Brain,Brain,Mouse,GD_custom_list
Slc1a2,Astrocytes,NonNeuronal,Brain,Brain,Mouse,GD_custom_list
Slc1a3,Astrocytes,NonNeuronal,Brain,Brain,Mouse,GD_custom_list
Ndrg2,Astrocytes,NonNeuronal,Brain,Brain,Mouse,GD_custom_list
Mog,Oligodendrocytes,NonNeuronal,Brain,Brain,Mouse,GD_custom_list
Mobp,Oligodendrocytes,NonNeuronal,Brain,Brain,Mouse,GD_custom_list
Hapln2,Oligodendrocytes,NonNeuronal,Brain,Brain,Mouse,GD_custom_list
Csf1r,Microglia,NonNeuronal,Brain,Brain,Mouse,GD_custom_list
Apbb1ip,Microglia,NonNeuronal,Brain,Brain,Mouse,GD_custom_list
Inpp5d,Microglia,NonNeuronal,Brain,Brain,Mouse,GD_custom_list
Vcan,OPCs,NonNeuronal,Brain,Brain,Mouse,GD_custom_list
Pdgfra,OPCs,NonNeuronal,Brain,Brain,Mouse,GD_custom_list
Pcdh15,OPCs,NonNeuronal,Brain,Brain,Mouse,GD_custom_list
Bmp4,Immature_Oligos,NonNeuronal,Brain,Brain,Mouse,GD_custom_list
Cnp,Immature_Oligos,NonNeuronal,Brain,Brain,Mouse,GD_custom_list
Tcf7l2,Immature_Oligos,NonNeuronal,Brain,Brain,Mouse,GD_custom_list
Flt1,Endothelial_Cells,NonNeuronal,Brain,Brain,Mouse,GD_custom_list
B2m,Endothelial_Cells,NonNeuronal,Brain,Brain,Mouse,GD_custom_list
Rgs5,Endothelial_Cells,NonNeuronal,Brain,Brain,Mouse,GD_custom_list
Ccdc153,Ependymal_Cells,NonNeuronal,Brain,Brain,Mouse,GD_custom_list
Rsph1,Ependymal_Cells,NonNeuronal,Brain,Brain,Mouse,GD_custom_list
Tmem212,Ependymal_Cells,NonNeuronal,Brain,Brain,Mouse,GD_custom_list
